Break a leg!,"na. 〈非正式〉祝好运
"
take ... in,"na. 加以考虑；〔美国〕访问；收进；收容
"
take in ...,"na. 加以考虑；〔美国〕访问；收进；收容
"
take ... on,"na. 担任(工作等)；较量；装(某种样子)；呈现(形势)
"
take on ...,"na. 担任(工作等)；较量；装(某种样子)；呈现(形势)
"
take sb. out,"na. 取出；带出(散步等)；除去(污点等)；取得(专卖权等)
"
take out sb.,"na. 取出；带出(散步等)；除去(污点等)；取得(专卖权等)
"
take sth. out,"na. 取出；带出(散步等)；除去(污点等)；取得(专卖权等)
"
take out sth.,"na. 取出；带出(散步等)；除去(污点等)；取得(专卖权等)
"
take sth. off,"v. (飞机)起飞；出去；拿掉；移送
"
take off sth.,"v. (飞机)起飞；出去；拿掉；移送
"
take off,"v. (飞机)起飞；出去；拿掉；移送
"
take a day off,"v. 休假一天
"
take the rap for ...,"承担刑事责任, 受责备, 代人受罚"
take the rap,"na. 挨骂；失败
"
take the starch out of sb.,"〈美俚〉使…精疲力竭;使…垂头丧气,挫…的锐气;杀…的威风;〈俚〉(指女人)同某人发生性关系"
take to ...,"na. 嗜好；开始；参加；逃入
"
take turns at doing sth.,无
take turns doing sth., 轮流做某事
take turns,"na. 替换
"
take up one's abode,无
take up with sb.,"na. 甘受；忍受(虐待等)；采用；遵奉(某说)
"
turn a blind eye to ...,"na. 对…熟视无睹；假装不见
"
turn a deaf ear to sth.,"na. 充耳不闻；装听不见[置若罔闻]
"
turn a deaf ear,"un. 回心转意；置之不理
"
turn against ...,"na. 背叛；使对抗；厌恶
"
turn back,"na. 同“turn down ”
"
turn in,"v. 向里弯曲
"
turn on a dime, 瞬息万变；变化无常；转硬币决定
turn one's back on ...,"na. 不理睬；丢弃；逃出
"
turn one's back, 不愿帮助；在别人遇到困难时；不理会某人
turn one's nose up at ...,"un. 近在眼前；把鼻子一翘
"
turn up one's nose at ...,"na. 轻视…
"
turn out,v. （以某种方式）发生；最后是；结果是 （尤指天气突然）变得（晴好） 原来是；结果发现 出席;参加;前去观看关掉，熄灭（电灯、煤气等） 出席;参加;前去观看生产；制造 （尤指把某人从其长期居住处）撵走，赶出，逐出 翻出；倒出 出席；参加；前去观看
pan out,"v. (以某种方式)结束
"
work out,"v. 作出；拟定；制定；计划一下
"
turn out to be ..., 证明是；结果是；原来是
turn over a new leaf,"na. 翻开新的一页；革面洗心；重新开始[做人]
"
turn over in one's grave, 死者虽死难安；死不瞑目
turn ... down,"na. 翻下(衣领等)；扭小(灯火等)拒绝考虑；拒绝(某人)
"
turn down ...,"na. 翻下(衣领等)；扭小(灯火等)拒绝考虑；拒绝(某人)
"
turn ... in,"v. 向里弯曲
"
turn in ...,"v. 向里弯曲
"
turn ... off,"v. 关掉
"
turn off ...,"v. 关掉
"
turn one's head,"un. 滔滔不绝；使冲昏头脑
"
turn one's stomach, 令人作呕；使恶心欲吐；恶心
turn ... on,"na. 转向；对…进行突击
"
turn on ...,"na. 转向；对…进行突击
"
turn ... out,"v. 证明；原来；到场
"
turn out ...,"v. 证明；原来；到场
"
turn ... over,"na. ￡ 500 a week 每星期卖得五百镑
"
turn over ...,"na. ￡ 500 a week 每星期卖得五百镑
"
turn sth. to one's advantage,无
turn the other cheek,"na. 泰然容忍
"
turn the tables on sb.,扭转形势；转败为胜；变劣势为优势；(与某人)主客易地；(在打牌时与某人)交换座次
turn the tables,"v. 扭转形势；扭转局面
"
turn the tide,"un. 扭转形势
"
turn to ...,"v. 向(某人)求助；求助于
"
turn around,"na. 转身；〈美〉使向好的方向转变
"
turn about,"na. 转身；立场改变；叛变；叛徒
"
turn into sth., 了解
turn on sb.,"na. 转向；对…进行突击
"
turn on the waterworks,〈口〉哇的一声哭起来(特指为了引人注意或得到想要的东西)
turn over,"na. ￡ 500 a week 每星期卖得五百镑
"
turn ... into sth., 了解
turn ... over,"na. ￡ 500 a week 每星期卖得五百镑
"
turn over ...,"na. ￡ 500 a week 每星期卖得五百镑
"
turn ... up,"v. 朝上翻；出现
"
turn up ...,"v. 朝上翻；出现
"
turn sth. around,"na. 转身；〈美〉使向好的方向转变
"
turn around sth.,"na. 转身；〈美〉使向好的方向转变
"
turn to,"v. 向(某人)求助；求助于
"
work into sth.,"na. 插入；加入；镂；突入
"
work like a horse,"na. 苦干
"
work like magic,"产生奇效,很灵验"
work on ...,"na. 对…有效[有作用]；动(人,感情等)；向…做工作；左右
"
work one's fingers to the bone, 拼命地做
work one's way through, 费劲地完成；靠做工读完；从头到尾做
work one's way up, 获得晋升；向上爬；逐步使自己地位上升
work out,"v. 作出；拟定；制定；计划一下
"
work out for the best,无
work ... in,"na. 插入；加入；镂；突入
"
work in ...,"na. 插入；加入；镂；突入
"
work ... up,"na. 刺激；煽动；刻苦完成；展开(故事的情节)
"
work up ...,"na. 刺激；煽动；刻苦完成；展开(故事的情节)
"
work sb. over,"na. 改作；仔细检查；殴打
"
work over sb.,"na. 改作；仔细检查；殴打
"
work sth. into sth.,"na. 插入；加入；镂；突入
"
work sth. out,"v. 作出；拟定；制定；计划一下
"
work out sth.,"v. 作出；拟定；制定；计划一下
"
work through channels,无
